"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jun 22 13:51:13 CST 2025","Sun Jun 22 13:51:26 CST 2025","12525","","","","","","Mover elemento en la pantalla",""
"passed","Sun Jun 22 13:51:04 CST 2025","Sun Jun 22 13:51:13 CST 2025","9846","","","","","","Realizar una búsqueda en Google",""
